text,quadruples
Very affordable rates for the very spacious room and comfortable rooms .,"[{'aspect': 'rates', 'polarity': 'POS', 'opinion': 'affordable', 'category': 'HOTEL#PRICE'}, {'aspect': 'room', 'polarity': 'POS', 'opinion': 'spacious', 'category': 'ROOM#SPACE'}, {'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
Clean and comfortable room with a full breakfast by the paddyfield .,"[{'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'breakfast', 'polarity': 'POS', 'opinion': 'full', 'category': 'FOOD#GENERAL'}]"
"It was simply perfect : the staff is very nice and welcoming , the rooms are very comfortable and clean and the swimming is just amazing .","[{'aspect': 'staff', 'polarity': 'POS', 'opinion': 'nice', 'category': 'SERVICE#GENERAL'}, {'aspect': 'rooms', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'swimming', 'polarity': 'POS', 'opinion': 'clean', 'category': 'ROOM#CLEANLINESS'}]"
We really enjoyed our stay since its located very central and the room was very comfortable .,"[{'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
The room is comfortable and spacious .,"[{'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
"Amazing service , very clean and comfortable rooms , wonderful rooftop pool with good food .","[{'aspect': 'service', 'polarity': 'POS', 'opinion': 'Amazing', 'category': 'SERVICE#GENERAL'}, {'aspect': 'rooms', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'rooftop pool', 'polarity': 'POS', 'opinion': 'clean', 'category': 'ROOM#CLEANLINESS'}, {'aspect': 'food', 'polarity': 'POS', 'opinion': 'wonderful', 'category': 'FACILITY#POOL'}]"
We got the comfortable room .,"[{'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
"Out room and the road side and close to the réception was a but noisy , but staff was really nice and the breakfast was ok .","[{'aspect': 'room', 'polarity': 'NEG', 'opinion': 'noisy', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'staff', 'polarity': 'POS', 'opinion': 'nice', 'category': 'SERVICE#GENERAL'}, {'aspect': 'breakfast', 'polarity': 'NEU', 'opinion': 'ok', 'category': 'FOOD#TASTE'}]"
"The arrangement for pick up and drop off airport was very good and in time , the staff are very friendly and helpful , quick check in , very cozy room .","[{'aspect': 'staff', 'polarity': 'POS', 'opinion': 'friendly', 'category': 'SERVICE#GENERAL'}, {'aspect': 'check in', 'polarity': 'POS', 'opinion': 'quick', 'category': 'SERVICE#GENERAL'}, {'aspect': 'room', 'polarity': 'POS', 'opinion': 'cozy', 'category': 'EXPERIENCE,AMBIENCE'}]"
"Exceptionally friendly service by all staff , great pool area and relaxing comfortable rooms .","[{'aspect': 'service', 'polarity': 'POS', 'opinion': 'friendly', 'category': 'SERVICE#GENERAL'}, {'aspect': 'pool area', 'polarity': 'POS', 'opinion': 'great', 'category': 'FACILITY#POOL'}, {'aspect': 'rooms', 'polarity': 'POS', 'opinion': 'relaxing comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
