text,real_labels,predicted_labels
"pool alone is amazing , shame it rained alot during our stay .","[{""aspect"": ""pool"", ""opinion"": ""amazing"", ""polarity"": ""POS"", ""category"": ""FACILITY#POOL""}]","[{""aspect"": ""pool"", ""polarity"": ""POS"", ""opinion"": ""amazing"", ""category"": ""FACILITY#POOL""}]"
"very friendly staff , very thourough cleaning and room service .","[{""aspect"": ""staff"", ""opinion"": ""friendly"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}]","[{""aspect"": ""staff"", ""polarity"": ""POS"", ""opinion"": ""friendly"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""cleaning"", ""polarity"": ""POS"", ""opinion"": ""thourough"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""room service"", ""polarity"": ""POS"", ""opinion"": ""thourough"", ""category"": ""SERVICE#GENERAL""}]"
big rooms and good bathrooms .,"[{""aspect"": ""bathrooms"", ""opinion"": ""good"", ""polarity"": ""POS"", ""category"": ""ROOM#BATHROOM""}]","[{""aspect"": ""rooms"", ""polarity"": ""POS"", ""opinion"": ""big"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""bathrooms"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""ROOM#BATHROOM""}]"
internet is inconsistent at times but generally good for ubud .,"[{""aspect"": ""internet"", ""opinion"": ""inconsistent"", ""polarity"": ""NEG"", ""category"": ""FACILITY#WIFI""}]","[{""aspect"": ""internet"", ""polarity"": ""NEG"", ""opinion"": ""inconsistent"", ""category"": ""FACILITY#WIFI""}]"
The hotel is next to the Main Street but very quiet and the perfect hotel to calm down and relax .,"[{""aspect"": ""hotel"", ""opinion"": ""perfect"", ""polarity"": ""POS"", ""category"": ""HOTEL#GENERAL""}]","[{""aspect"": ""hotel"", ""polarity"": ""POS"", ""opinion"": ""perfect"", ""category"": ""HOTEL#GENERAL""}]"
The hotel as well as the whole staff members are very good and lovely ! We had such a good time here and I will definitely come back .,"[{""aspect"": ""staff"", ""opinion"": ""lovely"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}]","[{""aspect"": ""staff"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""SERVICE#GENERAL""}]"
Had an awesome 3 night staycation and absolutely loved my stay .,"[{""aspect"": ""stay"", ""opinion"": ""loved"", ""polarity"": ""POS"", ""category"": ""EXPERIENCE,AMBIENCE""}]","[{""aspect"": ""stay"", ""polarity"": ""POS"", ""opinion"": ""loved"", ""category"": ""EXPERIENCE,AMBIENCE""}]"
"The rooms were large and clean , the jungle facing balcony was amazing .","[{""aspect"": ""rooms"", ""opinion"": ""large"", ""polarity"": ""POS"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""rooms"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""balcony"", ""opinion"": ""amazing"", ""polarity"": ""POS"", ""category"": ""ROOM#VIEW""}]","[{""aspect"": ""rooms"", ""polarity"": ""POS"", ""opinion"": ""large"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""balcony"", ""polarity"": ""POS"", ""opinion"": ""clean"", ""category"": ""ROOM#CLEANLINESS""}]"
Had lots of video conference calls on the balcony and the internet worked well .,"[{""aspect"": ""internet"", ""opinion"": ""worked well"", ""polarity"": ""POS"", ""category"": ""FACILITY#WIFI""}]","[{""aspect"": ""internet"", ""polarity"": ""POS"", ""opinion"": ""worked well"", ""category"": ""FACILITY#WIFI""}]"
The staff were super friendly and I ’ ll be back for sure .,"[{""aspect"": ""staff"", ""opinion"": ""friendly"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}]","[{""aspect"": ""staff"", ""polarity"": ""POS"", ""opinion"": ""friendly"", ""category"": ""SERVICE#GENERAL""}]"
