text,quadruples
It is so calm and quiet. Best place to relax and get a piece of mind.,"[{'aspect': 'place', 'polarity': 'POS', 'opinion': 'Best', 'category': 'HOTEL#EXPERIENCE'}]"
There is nothing not to like. This place is perfect.,"[{'aspect': 'place', 'polarity': 'POS', 'opinion': 'perfect', 'category': 'HOTEL#GENERAL'}]"
"Location is good, but food is very expensive","[{'aspect': 'Location', 'polarity': 'POS', 'opinion': 'good', 'category': 'LOCATION#GENERAL'}, {'aspect': 'food', 'polarity': 'NEG', 'opinion': 'expensive', 'category': 'FOOD#PRICE'}]"
expensive food,"[{'aspect': 'food', 'polarity': 'NEG', 'opinion': 'expensive', 'category': 'FOOD#PRICE'}]"
"The whole of the resort lived up to its name as it was very artsy. There was a choice of American and Continental breakfast and also had noodles on the menu .The pool was beautiful ,overlooking the natural forests of Ubud. The resorts boasts a museum which is spectacular and the owner was kind enough to give us a full tour and explanations of all his findings.","[{'aspect': 'resort', 'polarity': 'POS', 'opinion': 'artsy', 'category': 'HOTEL#AMBIENCE'}, {'aspect': 'pool', 'polarity': 'POS', 'opinion': 'beautiful', 'category': 'FACILITY#POOL'}, {'aspect': 'owner', 'polarity': 'POS', 'opinion': 'kind enough to give us a full tour', 'category': 'SERVICE#HOSPITALITY'}]"
"The resort is about 10 minutes drive away from city Centre, however a taxi was easily accessible to move around in Ubud.","[{'aspect': 'city Centre', 'polarity': 'POS', 'opinion': '10 minutes drive', 'category': 'LOCATION#CENTRAL_CITY'}, {'aspect': 'taxi', 'polarity': 'POS', 'opinion': 'easily accessible', 'category': 'SERVICE#ASSISTANCE'}, {'aspect': 'resort', 'polarity': 'POS', 'opinion': '10 minutes drive', 'category': 'HOTEL#GENERAL'}]"
The property is located In middle of Ubud surrounded by nature. Staff were very helpful + friendly. Good hospitality. Will recommend for those who love nature.,"[{'aspect': 'property', 'polarity': 'POS', 'opinion': 'surrounded by nature', 'category': 'LOCATION#GENERAL'}, {'aspect': 'Staff', 'polarity': 'POS', 'opinion': 'helpful', 'category': 'SERVICE#HOSPITALITY'}, {'aspect': 'hospitality', 'polarity': 'POS', 'opinion': 'friendly', 'category': 'SERVICE#HOSPITALITY'}]"
Breakfast included. Quiet location,"[{'aspect': 'Breakfast', 'polarity': 'POS', 'opinion': 'included', 'category': 'FOOD#GENERAL'}, {'aspect': 'location', 'polarity': 'POS', 'opinion': 'Quiet', 'category': 'LOCATION#GENERAL'}]"
Too far from shops and activities,"[{'aspect': 'shops', 'polarity': 'NEG', 'opinion': 'Too far', 'category': 'LOCATION#NEARBY_AMENITIES'}, {'aspect': 'activities', 'polarity': 'NEG', 'opinion': 'Too far', 'category': 'LOCATION#ENTERTAINMENT'}]"
Room was cozy and comfortable. Food in  restaurants was amazing and tasty. Staff was friendly and helped out guests in case of special food requests. spa center were very good and comfortable.,"[{'aspect': 'Room', 'polarity': 'POS', 'opinion': 'cozy', 'category': 'ROOM#AMBIENCE'}, {'aspect': 'Food', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'ROOM#EXPERIENCE'}, {'aspect': 'Staff', 'polarity': 'POS', 'opinion': 'amazing', 'category': 'FOOD#TASTE'}, {'aspect': 'spa center', 'polarity': 'POS', 'opinion': 'tasty', 'category': 'FOOD#TASTE'}]"
Bath salts could be provided for bath tub. Few charging ports,"[{'aspect': 'Bath salts', 'polarity': 'NEG', 'opinion': 'could be provided', 'category': 'ROOM#BATHROOM'}, {'aspect': 'charger ports', 'polarity': 'NEG', 'opinion': 'Limited', 'category': 'ROOM#BATHROOM'}]"
Breakfast was good,"[{'aspect': 'Breakfast', 'polarity': 'POS', 'opinion': 'good', 'category': 'FOOD#TASTE'}]"
Not everything was open only 2 restaurants not 3,"[{'aspect': 'restaurants', 'polarity': 'NEG', 'opinion': 'not 3', 'category': 'LOCATION#NEARBY_AMENITIES'}, {'aspect': 'everything', 'polarity': 'NEG', 'opinion': 'not 3', 'category': 'HOTEL#EXPERIENCE'}]"
couldnt see the art collection.,"[{'aspect': 'art collection', 'polarity': 'NEG', 'opinion': 'couldnt see', 'category': 'FACILITY#GENERAL'}]"
"Amazing views, relaxing place, out from crowds and unbelievable sunrise and sunsets!","[{'aspect': 'views', 'polarity': 'POS', 'opinion': 'Amazing', 'category': 'LOCATION#VIEW'}, {'aspect': 'place', 'polarity': 'POS', 'opinion': 'relaxing', 'category': 'HOTEL#AMBIENCE'}, {'aspect': 'sunsets', 'polarity': 'POS', 'opinion': 'unbelievable', 'category': 'LOCATION#VIEW'}]"
"Restaurant can be improved, but it’s just a suggestion.","[{'aspect': 'Restaurant', 'polarity': 'NEG', 'opinion': 'can be improved', 'category': 'FOOD#GENERAL'}]"
The room was big enough and very comfortable. The views were amazing from the pool,"[{'aspect': 'room', 'polarity': 'POS', 'opinion': 'big enough', 'category': 'ROOM#SPACE'}, {'aspect': 'views', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'ROOM#EXPERIENCE'}]"
the gym was like old and with not too much implements to exercise. Also the few implements that were there were rusty.,"[{'aspect': 'gym', 'polarity': 'NEG', 'opinion': 'old', 'category': 'FACILITY#GENERAL'}, {'aspect': 'implements', 'polarity': 'NEG', 'opinion': 'not too much', 'category': 'FACILITY#GENERAL'}]"
"The staff were really lovely and helpful, the breakfast was plentiful. You could see in the distance the monkeys playing in the trees.","[{'aspect': 'staff', 'polarity': 'POS', 'opinion': 'lovely', 'category': 'SERVICE#HOSPITALITY'}, {'aspect': 'breakfast', 'polarity': 'POS', 'opinion': 'helpful', 'category': 'SERVICE#HOSPITALITY'}]"
"The scenery, the relaxed restaurant and the kindness of the people","[{'aspect': 'scenery', 'polarity': 'POS', 'opinion': 'The', 'category': 'LOCATION#VIEW'}, {'aspect': 'restaurant', 'polarity': 'POS', 'opinion': 'relaxed', 'category': 'FOOD#GENERAL'}, {'aspect': 'people', 'polarity': 'POS', 'opinion': 'kindness', 'category': 'SERVICE#HOSPITALITY'}]"
The noisy gallery and the shower floaded easily after a shower,"[{'aspect': 'gallery', 'polarity': 'NEG', 'opinion': 'noisy', 'category': 'ROOM#AMBIENCE'}, {'aspect': 'shower', 'polarity': 'NEG', 'opinion': 'floaded easily', 'category': 'ROOM#BATHROOM'}]"
Great location and lovely people. The hotel is beautiful.,"[{'aspect': 'location', 'polarity': 'POS', 'opinion': 'Great', 'category': 'LOCATION#GENERAL'}, {'aspect': 'people', 'polarity': 'POS', 'opinion': 'lovely', 'category': 'SERVICE#HOSPITALITY'}, {'aspect': 'hotel', 'polarity': 'POS', 'opinion': 'beautiful', 'category': 'HOTEL#AMBIENCE'}]"
The room door didn’t close properly and it was really hard to remove the key after closing it. The bathroom door didn’t close and the pillows were very uncomfortable.,"[{'aspect': 'room door', 'polarity': 'NEG', 'opinion': ""didn't close properly"", 'category': 'ROOM#MAINTAIN'}, {'aspect': 'bathroom door', 'polarity': 'NEG', 'opinion': ""didn't close"", 'category': 'ROOM#BATHROOM'}, {'aspect': 'pillows', 'polarity': 'NEG', 'opinion': 'excessive', 'category': 'ROOM#BED'}]"
"The place amenities, the staff, the Cascade, nature, pools,","[{'aspect': 'staff', 'polarity': 'POS', 'opinion': 'amenities', 'category': 'SERVICE#HOSPITALITY'}, {'aspect': 'cascade', 'polarity': 'POS', 'opinion': 'amenities', 'category': 'FACILITY#GENERAL'}, {'aspect': 'nature', 'polarity': 'POS', 'opinion': 'amenities', 'category': 'FACILITY#GENERAL'}, {'aspect': 'pools', 'polarity': 'POS', 'opinion': 'amenities', 'category': 'FACILITY#POOL'}]"
"The room was a bit old(doors  and floor made of wood, made noise)
Food menu was limited.
Location was a bit too far from the centre of Ubud.","[{'aspect': 'room', 'polarity': 'NEG', 'opinion': 'old', 'category': 'ROOM#AMBIENCE'}, {'aspect': 'doors', 'polarity': 'NEG', 'opinion': 'made of wood', 'category': 'ROOM#AMBIENCE'}, {'aspect': 'floor', 'polarity': 'NEG', 'opinion': 'made noise', 'category': 'ROOM#AMBIENCE'}, {'aspect': 'Food menu', 'polarity': 'NEG', 'opinion': 'limited', 'category': 'FOOD#CHOICE'}, {'aspect': 'Location', 'polarity': 'NEG', 'opinion': 'too far from the centre of Ubud', 'category': 'LOCATION#CENTRAL_CITY'}]"
I liked pool and the amazing view of nature,"[{'aspect': 'pool', 'polarity': 'POS', 'opinion': 'liked', 'category': 'FACILITY#POOL'}, {'aspect': 'view', 'polarity': 'POS', 'opinion': 'amazing', 'category': 'LOCATION#VIEW'}]"
